SRR8926262_1.fastq	13-6929892_1.fastq
SRR8926263_1.fastq	13-6929891_1.fastq
SRR8926264_1.fastq	13-6929890_1.fastq
SRR8926265_1.fastq	13-6929889_1.fastq
SRR8926266_1.fastq	13-6929887_1.fastq
SRR8926267_1.fastq	13-6929886_1.fastq
SRR8926268_1.fastq	13-6929896_1.fastq
SRR8926269_1.fastq	13-6929895_1.fastq
SRR8926270_1.fastq	13-6929606_1.fastq
SRR8926271_1.fastq	13-6929607_1.fastq
SRR8926272_1.fastq	13-6929600_1.fastq
SRR8926273_1.fastq	13-6929601_1.fastq
SRR8926274_1.fastq	13-6929595_1.fastq
SRR8926275_1.fastq	13-6929599_1.fastq
SRR8926276_1.fastq	13-6929604_1.fastq
SRR8926277_1.fastq	13-6929605_1.fastq
SRR8926278_1.fastq	13-6929602_1.fastq
SRR8926279_1.fastq	13-6929603_1.fastq
SRR8926280_1.fastq	13-6929659_1.fastq
SRR8926281_1.fastq	13-6929661_1.fastq
SRR8926282_1.fastq	13-6929656_1.fastq
SRR8926283_1.fastq	13-6929657_1.fastq
SRR8926284_1.fastq	13-6929653_1.fastq
SRR8926285_1.fastq	13-6929655_1.fastq
SRR8926286_1.fastq	13-6929650_1.fastq
SRR8926287_1.fastq	13-6929651_1.fastq
SRR8926288_1.fastq	13-6929648_1.fastq
SRR8926289_1.fastq	13-6929649_1.fastq
SRR8926290_1.fastq	13-6929835_1.fastq
SRR8926291_1.fastq	13-6929843_1.fastq
SRR8926292_1.fastq	13-6929833_1.fastq
SRR8926293_1.fastq	13-6929834_1.fastq
SRR8926294_1.fastq	13-6929882_1.fastq
SRR8926295_1.fastq	13-6929883_1.fastq
SRR8926296_1.fastq	13-6929858_1.fastq
SRR8926297_1.fastq	13-6929881_1.fastq
SRR8926298_1.fastq	13-6929884_1.fastq
SRR8926299_1.fastq	13-6929885_1.fastq
SRR8926300_1.fastq	13-6929623_1.fastq
SRR8926301_1.fastq	13-6929619_1.fastq
SRR8926302_1.fastq	13-6929591_1.fastq
SRR8926303_1.fastq	13-6929592_1.fastq
SRR8926304_1.fastq	13-6929578_1.fastq
